incentive_id,title,description,description,eligibility_text,budget,start_date,end_date,program
3406,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos. Apoio à atividade religiosa da Igreja Católica,"""This tax benefit provides exemption for the Catholic Church on the acquisition of properties and free goods for religious purposes.""","{""eligibleSectors"": ""Religious Organizations""}",,2023-01-01 00:00:00+00,,RAR 74/2004
1060,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM. Objetivo Específico: Colher os benefícios da digitalização,"""Este aviso de concurso do Portugal 2030 e do FEDER apoia projetos de digitalização na administração pública local, visando aumentar a eficiência dos serviços prestados a cidadãos e empresas. Pretende-se promover a implementação de soluções de smart cities interoperáveis em todo o território, otimizando a despesa pública e melhorando a tomada de decisão. Podem candidatar-se municípios e comunidades intermunicipais das regiões NUTS III Alto Alentejo e Alentejo Litoral.""","{""region"": ""Região NUTS III Alto Alentejo e Região NUTS III Alentejo Litoral"", ""entities"": ""Municípios e Comunidades Intermunicipais do Alto Alentejo e do Alentejo Litoral"", ""project_type"": ""Projetos de desenvolvimento de smart cities com serviços digitais centrados nas pessoas e interoperáveis""}",511910.77,2025-04-01 03:30:00+00,2025-09-30 12:30:00+00,PT2030
1061,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial. Objetivo Específico: Promover a investigação e a inovação,"""Este aviso financia o registo e valorização de direitos de propriedade industrial (patentes, modelos de utilidade e desenhos ou modelos) pelas vias nacional, europeia e internacional, promovendo a transferência de conhecimento científico e tecnológico para o setor empresarial. Destina-se a micro, pequenas e médias empresas (PME) e Small Mid Caps, com cofinanciamento FEDER até 50% (40% para Lisboa) e duração máxima de 36 meses.""","{""entities"": ""Micro, pequenas e médias empresas (PME) e Small Mid Caps de qualquer natureza e forma jurídica"", ""legal_framework"": ""Requisitos de elegibilidade do artigo 14 do Decreto-Lei n.º 20-A/2023 e artigos 6.º e n.º 1 do REITD (Portaria 103-A/2023)"", ""geographical_scope"": ""Regiões NUTS II do Continente (Norte, Centro, Lisboa, Alentejo e Algarve)"", ""eligible_operations"": ""Pedidos de patente, modelo de utilidade ou desenho/modelo apresentados no INPI, via direta no estrangeiro, patente europeia (INPI ou EPO), fases nacionais de PCT ou pedido comunitário de desenho/modelo (EUIPO)""}",2825000.0,2025-03-31 11:00:00+00,2025-12-30 12:30:00+00,PT2030
1062,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science. Objetivo Específico: Promover a investigação e a inovação,"""Este procedimento estabelece as regras para validação das Entidades Não Empresariais do Sistema de I&I (ENESII) de modo a beneficiarem de uma taxa de apoio de 85% às despesas elegíveis no âmbito do SI I&DT. As ENESII devem comprovar anualmente, através de formulário na Plataforma de Acesso Simplificado (PAS) e declaração subscrita por auditor ou responsável financeiro, que mantêm caráter não económico ou que a sua atividade económica é limitada ou devidamente segregada.""","{""entity_type"": ""ENESII (Entidades Não Empresariais do Sistema de I&I)"", ""accounting_alternative"": ""Sistema de contabilidade analítica com separação clara de gastos e rendimentos"", ""economic_activity_limit"": ""Capacidade imputada a atividades económicas ≤ 20% da capacidade global anual"", ""required_public_funding_rate"": ""85% às despesas elegíveis""}",6000000.0,2025-03-31 11:00:00+00,2025-10-31 12:30:00+00,PT2030
972,Cessação temporária das atividades de pesca - Embarcações de cerco - Região Autónoma da Madeira,Cessação temporária das atividades de pesca - Embarcações de cerco - Região Autónoma da Madeira. Objetivo Específico: Ajustamento da capacidade de pesca,"""Este aviso do Programa MAR 2030 apoia a cessação temporária da atividade de pesca com embarcações de cerco licenciadas para captura de pequenos pelágicos na Região Autónoma da Madeira. O objetivo é compensar as perdas de rendimento de armadores e pescadores durante um período de paragem de até 90 dias, através de compensação financeira calculada com base no volume de vendas do ano anterior e de compensação salarial aos tripulantes. O período de submissão de candidaturas decorre entre 01/07/2025 e 31/07/2025.""","{""local"": ""Região Autónoma da Madeira"", ""tripulantes"": ""Inscrição no rol de tripulação da embarcação imobilizada e na Segurança Social"", ""contabilidade"": ""Regime de contabilidade organizada ou simplificado"", ""entidades_aptas"": ""Armadores de embarcações de cerco licenciadas para pesca dirigida à captura de pequenos pelágicos e respetiva tripulação"", ""duração_paragem"": ""90 dias consecutivos entre 04/05/2025 e 02/08/2025"", ""tipo_de_atividade"": ""Cessação temporária da atividade de pesca"", ""direito_exploração"": ""Registo da embarcação na frota de pesca e exercício de atividade de pesca no mar durante o período exigido"", ""experiência_mínima"": ""Pelo menos 120 dias de atividade de pesca no mar nos dois anos civis anteriores, tanto para a embarcação quanto para cada pescador"", ""licença_regulamentar"": ""Portaria n.º 157/2025, de 5 de março, alterada pela Portaria n.º 307/2025, de 18 de junho"", ""situação_regulatória"": ""Não estar impedido de apresentar candidaturas nos termos do Regulamento (UE) 2021/1139""}",70000.0,2025-07-01 12:30:00+00,2025-07-31 12:30:00+00,PT2030
1149,"Mobilidade a Pedido (IT)
","Mobilidade a Pedido (IT)
. Objetivo Específico: Desenvolvimento integrado nas zonas urbanas","""Aviso de concurso do Programa Regional do Centro (CENTRO 2030) que apoia a implementação de sistemas de mobilidade a pedido, promovendo soluções de transporte flexível para reforçar a articulação urbano-rural. Destina-se a Municípios e Comunidades Intermunicipais na área NUTS III do Centro e cofinancia até 85% dos custos elegíveis, incluindo equipamentos, software e IVA não recuperável. O objetivo é reorganizar e qualificar a oferta de serviços públicos coletivos de interesse geral de forma inovadora e sustentável.""","{""exclusões"": ""Investimentos em transportes movidos a combustíveis fósseis"", ""área_geográfica"": ""Regiões NUTS III do Centro identificadas no enquadramento territorial"", ""tipologia_de_ação"": ""Mobilidade a pedido"", ""entidades_beneficiárias"": ""Municípios ou Comunidades Intermunicipais""}",911925.44,2024-09-24 03:30:00+00,2025-08-29 12:30:00+00,PT2030
1152,Saúde - cuidados saúde primários (IT),Saúde - cuidados saúde primários (IT). Objetivo Específico: Desenvolvimento integrado nas zonas urbanas,"""Aviso NORTE2030-2024-44 que financia intervenções em cuidados de saúde primários no âmbito dos Investimentos Territoriais Integrados (ITI CIM/AM) na região Norte, com apoio de fundos FEDER até 85%. As candidaturas destinam-se a projetos de infraestruturas, aquisição de equipamentos ou novos modelos de organização de prestação de cuidados de saúde de proximidade, integrados em planos de ação e quadros prioritários de investimento aprovados. O período de candidaturas decorre de 30/08/2024 a 31/03/2025.""","{""applicants"": ""Municípios e outras entidades elegíveis previstas na Secção VII do Regulamento Específico REVTIS"", ""project_scope"": ""Projetos enquadrados nos Planos de Ação dos ITI CIM/AM e respetivos QIP, orientados para cuidados de saúde primários (infraestruturas, equipamentos ou novos modelos organizacionais)"", ""geographic_scope"": [""NUTS III Alto Tâmega"", ""Barroso"", ""Área Metropolitana do Porto"", ""Ave"", ""Cávado"", ""Douro"", ""Tâmega e Sousa"", ""Terras de Trás-os-Montes""]}",8301134.0,2024-08-30 12:30:00+00,2025-03-31 12:30:00+00,PT2030
1066,Gestão de água e conservação de recursos hídricos,Gestão de água e conservação de recursos hídricos. Objetivo Específico: Adaptação às alterações climáticas,"""Instruções para submissão de candidaturas ao Programa Regional do Alentejo 2030, detalhando como comprimir ficheiros em lotes de 10 MB em formato .zip e proceder ao carregamento seguro no Balcão dos Fundos, evitando partilha por links externos.""","{""programa"": ""Alentejo 2030 (Programa Regional do Alentejo 2021-2027)"", ""tipo_operacao"": ""operações geradoras de receita líquida após conclusão ou durante execução"", ""custo_elegivel"": ""categorias de elegibilidade: < 1 M€ (declaração qualitativa), 1–50 M€ (EVEF) e > 50 M€ (Análise Custo-Benefício)""}",4000000.0,2025-03-24 10:30:00+00,2025-07-31 12:30:00+00,PT2030
977,SACCCT - Proteção da propriedade intelectual e industrial,SACCCT - Proteção da propriedade intelectual e industrial. Objetivo Específico: Promover a investigação e a inovação,"""Este procedimento define as regras para validar as Entidades Não Empresariais do Sistema de I&I (ENESII) que pretendem beneficiar de uma taxa de incentivo de até 85% nas despesas elegíveis no âmbito do Sistema de Incentivos à Investigação e Desenvolvimento. As ENESII devem comprovar a sua natureza não económica através de demonstrações financeiras anuais e do preenchimento do formulário de atividade económica na Plataforma de Acesso Simplificado (PAS), garantindo a separação clara entre atividades económicas e não económicas. É também exigida uma declaração anual, subscrita por Revisor Oficial de Contas, Contabilista Certificado ou Responsável Financeiro, que ateste o cumprimento das condições de não enquadramento no Regime de Auxílios de Estado.""","{""entity_type"": ""Entidades Não Empresariais do Sistema de I&I (ENESII)"", ""support_rate"": ""até 85% das despesas elegíveis"", ""audit_requirement"": ""declaração anual subscrita por ROC, Contabilista Certificado ou Responsável Financeiro"", ""pas_registration_and_form"": ""registo e atualização na Plataforma de Acesso Simplificado (PAS) e preenchimento do formulário de atividade económica para o ano pré-projeto e cada ano de execução"", ""non_economic_nature_conditions"": [""não desenvolve atividades económicas em concorrência de mercado"", ""desenvolve atividades económicas, mas estas não excedem 20% da capacidade global anual"", ""desenvolve atividades económicas acima de 20% da capacidade, mas dispõe de contabilidade analítica que separa custos e rendimentos""]}",3700000.0,2025-06-30 11:30:00+00,2025-12-22 12:30:00+00,PT2030
2288,Execução da EDL do GAL Costeiro Litoral Norte – Do Mar ao Prato,"Este incentivo, inserido no programa MAR 2030, visa apoiar a execução da Estratégia de Desenvolvimento Local (EDL) do GAL Costeiro Litoral Norte, promovendo o desenvolvimento sustentável das comunidades piscatórias na região Norte. O aviso tem natureza de concurso, destina-se a promotores privados e públicos, e as candidaturas são individuais. O lançamento dos avisos está previsto entre maio e agosto de 2025.","""Este incentivo apoia entidades privadas e públicas na região Norte para implementar estratégias de desenvolvimento local focadas nas comunidades piscatórias, no âmbito do programa MAR 2030, com candidaturas abertas entre maio e agosto de 2025.""","{""região"": ""Norte"", ""tipo_de_promotor"": ""Privada, Pública""}",421422.0,2025-05-01 00:00:00+00,2025-08-31 00:00:00+00,MAR 2030
